Indicador;Idade;Genero;Dependentes;Escolaridade;Estado_Civil;Renda;Cartao;Limite_Credito
0;45;M;3;Ensino Médio Completo;Casado;De 60 Mil a 80 Mil;Blue;12691.0
0;49;F;5;Pós-Graduação;Solteiro;Menos de 40 Mil;Blue;8256.0
0;51;M;3;Pós-Graduação;Casado;De 80 Mil a 120 Mil;Blue;3418.0
0;40;F;4;Ensino Médio Completo;;Menos de 40 Mil;Blue;3313.0
0;40;M;3;Sem Escolaridade;Casado;De 60 Mil a 80 Mil;Blue;4716.0
0;44;M;2;Pós-Graduação;Casado;De 40 Mil a 60 Mil;Blue;4010.0
0;51;M;4;Desconhecido;Casado;Mais de 120 Mil;Gold;34516.0
0;32;M;0;Ensino Médio Completo;;De 60 Mil a 80 Mil;Silver;29081.0
0;37;M;3;Sem Escolaridade;Solteiro;De 60 Mil a 80 Mil;Blue;22352.0
0;48;M;2;Pós-Graduação;Solteiro;De 80 Mil a 120 Mil;Blue;11656.0
0;42;M;5;Sem Escolaridade;;Mais de 120 Mil;Blue;6748.0
0;65;M;1;Desconhecido;Casado;De 40 Mil a 60 Mil;Blue;9095.0
0;56;M;1;Ensino Superior Completo;Solteiro;De 80 Mil a 120 Mil;Blue;11751.0
0;35;M;3;Pós-Graduação;;De 60 Mil a 80 Mil;Blue;8547.0
0;57;F;2;Pós-Graduação;Casado;Menos de 40 Mil;Blue;2436.0
0;44;M;4;Desconhecido;;De 80 Mil a 120 Mil;Blue;4234.0
0;48;M;4;Mestrado;Solteiro;De 80 Mil a 120 Mil;Blue;30367.0
0;41;M;3;Desconhecido;Casado;De 80 Mil a 120 Mil;Blue;13535.0
0;61;M;1;Ensino Médio Completo;Casado;De 40 Mil a 60 Mil;Blue;3193.0
0;45;F;2;Pós-Graduação;Casado;;Blue;14470.0
0;47;M;1;Doutorado;Divorciado;De 60 Mil a 80 Mil;Blue;20979.0
1;62;F;0;Pós-Graduação;Casado;Menos de 40 Mil;Blue;1438.3
0;41;M;3;Ensino Médio Completo;Casado;De 40 Mil a 60 Mil;Blue;4470.0
0;47;F;4;Desconhecido;Solteiro;Menos de 40 Mil;Blue;2492.0
0;54;M;2;Desconhecido;Casado;De 80 Mil a 120 Mil;Blue;12217.0
0;41;F;3;Pós-Graduação;Solteiro;Menos de 40 Mil;Blue;7768.0
0;59;M;1;Ensino Médio Completo;;De 40 Mil a 60 Mil;Blue;14784.0
0;63;M;1;Desconhecido;Casado;De 60 Mil a 80 Mil;Blue;10215.0
0;44;F;3;Sem Escolaridade;Solteiro;;Blue;10100.0
0;47;M;4;Ensino Médio Completo;Casado;De 40 Mil a 60 Mil;Blue;4785.0
0;53;M;3;Desconhecido;Casado;De 80 Mil a 120 Mil;Blue;2753.0
0;53;M;2;Sem Escolaridade;Casado;De 60 Mil a 80 Mil;Blue;2451.0
0;41;M;4;Pós-Graduação;Casado;De 60 Mil a 80 Mil;Blue;8923.0
0;53;F;2;Ensino Superior Completo;Casado;Menos de 40 Mil;Blue;2650.0
0;58;M;0;Pós-Graduação;Casado;De 80 Mil a 120 Mil;Blue;12555.0
0;55;F;1;Ensino Superior Completo;Solteiro;Menos de 40 Mil;Blue;3520.0
0;55;F;3;Pós-Graduação;Casado;Menos de 40 Mil;Blue;3035.0
0;42;F;4;Ensino Médio Completo;Casado;Menos de 40 Mil;Gold;15433.0
0;57;F;1;Pós-Graduação;;De 40 Mil a 60 Mil;Blue;3672.0
1;66;F;0;Doutorado;Casado;;Blue;7882.0
0;45;M;3;Pós-Graduação;Solteiro;De 80 Mil a 120 Mil;Blue;32426.0
0;51;M;2;Desconhecido;Casado;De 40 Mil a 60 Mil;Blue;6205.0
0;50;F;1;Ensino Superior Completo;Solteiro;De 40 Mil a 60 Mil;Silver;17304.0
0;49;M;3;Ensino Médio Completo;Casado;De 60 Mil a 80 Mil;Blue;3906.0
0;38;F;4;Pós-Graduação;Solteiro;;Blue;9830.0
0;49;M;4;Sem Escolaridade;Solteiro;De 80 Mil a 120 Mil;Blue;34516.0
0;56;M;2;Doutorado;Casado;De 60 Mil a 80 Mil;Blue;2283.0
0;59;M;1;Doutorado;Casado;De 40 Mil a 60 Mil;Blue;2548.0
0;46;M;3;Ensino Médio Completo;Casado;De 80 Mil a 120 Mil;Blue;19458.0
0;52;M;1;Ensino Superior Completo;Solteiro;De 80 Mil a 120 Mil;Blue;4745.0
0;52;F;3;Desconhecido;Casado;Menos de 40 Mil;Blue;2622.0
1;54;F;1;Pós-Graduação;Casado;Menos de 40 Mil;Blue;1438.3
0;66;F;0;Ensino Médio Completo;Casado;Menos de 40 Mil;Blue;3171.0
0;49;M;2;Desconhecido;Casado;Mais de 120 Mil;Blue;19763.0
1;56;M;2;Pós-Graduação;Casado;Mais de 120 Mil;Blue;15769.0
0;49;F;4;Pós-Graduação;;Menos de 40 Mil;Blue;3298.0
0;49;F;3;Pós-Graduação;Solteiro;Menos de 40 Mil;Blue;2802.0
0;56;M;2;Sem Escolaridade;Casado;De 40 Mil a 60 Mil;Blue;4458.0
0;44;F;5;Pós-Graduação;Casado;;Blue;6273.0
